Year, Winning_Party
1960, D
1961, D
1962, D
1963, D
1964, D
1965, D
1966, D
1967, D
1968, R
1969, R
1970, R
1971, R
1972, R
1973, R
1974, R
1975, R
1976, D
1977, D
1978, D
1979, D
1980, R
1981, R
1982, R
1983, R
1984, R
1985, R
1986, R
1987, R
1988, R
1989, R
1990, R
1991, R
1992, D
1993, D
1994, D
1995, D
1996, D
1997, D
1998, D
1999, D
2000, R
2001, R
2002, R
2003, R
2004, R
2005, R
2006, R
2007, R
2008, D
2009, D
2010, D
2011, D
2012, D
2013, D
2014, D
2015, D
2016, R
2017, R
2018, R
2019, R
2020, D

